id,postal,building_name,road_name,lat,lon
1,486127,NAN WAH BUILDING,CHANGI SOUTH LANE,1.333454357,103.9514269
2,118860,THE GRANDHILL,PASIR PANJANG HILL,1.281936707,103.7846323
3,138681,DOVER PARKVIEW,DOVER RISE,1.305726991,103.7839425
4,148813,TANGLIN HALT MARKET,TANGLIN HALT ROAD,1.300535257,103.7977303
5,159929,THE ALEXCIER,ALEXANDRA ROAD,1.291155566,103.8138282
6,169588,EMERALD PARK TOWER 1,INDUS ROAD,1.290094008,103.8300919
7,178885,STAMFORD HOUSE,STAMFORD ROAD,1.294133743,103.850847
8,178957,THE OLD SUPREME COURT BUILDING,SAINT ANDREW'S ROAD,1.289779277,103.8512374
9,208959,ALLENBY HOUSE,JALAN BESAR,1.311027262,103.8592414
10,208988,RELIANCE BUILDING,JALAN BESAR,1.312291008,103.8594923
11,218227,THE VERGE,SERANGOON ROAD,1.304600376,103.8523141
12,218901,OWEN 88,OWEN ROAD,1.313455032,103.8534989
13,228223,SCOTTS 28,SCOTTS ROAD,1.310038784,103.8349633
14,228490,PARC EMILY,MOUNT EMILY ROAD,1.303274752,103.849164
15,229627,TOWNHOUSE APARTMENTS,CAVENAGH ROAD,1.309256677,103.8426135
16,238428,THE REGALIA,RIVER VALLEY CLOSE,1.295454601,103.8365337
17,238467,VISIONCREST,PENANG ROAD,1.299062996,103.8427163
18,239013,THE PIER @ ROBETSON,MOHAMED SULTAN ROAD,1.291175249,103.8406653
19,249191,MUTIARA VIEW,JALAN MUTIARA,1.295277822,103.8281882
20,249510,HOLLAND TOWER,HOLLAND HEIGHTS,1.307900378,103.802887
21,257612,WHITE HOUSE PARK APARTMENTS,WHITE HOUSE PARK,1.316981942,103.822071
22,258390,EMBASSY OF JAPAN,NASSIM ROAD,1.308669888,103.8232811
23,258590,MASJID BA'ALWIE,LEWIS ROAD,1.320736017,103.8225902
24,259865,JEWEL OF BALMORAL,BALMORAL PARK,1.315795999,103.8276382
25,286802,HILLCREST PARK,HILLCREST ROAD,1.336388788,103.8073506
26,307788,THE SPINNAKER,SUFFOLK ROAD,1.314091183,103.8439854
27,320083,WHAMPOA VIEW,WHAMPOA DRIVE,1.32357453,103.8570339
28,328008,SAINT MICHAEL REGENCY,SAINT MICHAEL'S ROAD,1.327654041,103.863988
29,328468,MOONSTONE ROYALE,MOONSTONE LANE,1.327857224,103.8660883
30,328490,MOONSTONE APARTMENTS,MOONSTONE LANE,1.328828743,103.8644772
31,339707,KALLANG DISTRIPARK (BLK 1781),GEYLANG BAHRU,1.31831739,103.8698612
32,347552,MUSLIM TRUST FUND ASSOCIATION,WAN THO AVENUE,1.332880049,103.8709357
33,349316,GOLDEN WHEEL BUILDING,KALLANG PUDDING ROAD,1.329404035,103.8787359
34,359718,ONE CHILTERN,CHILTERN DRIVE,1.348649008,103.8608109
35,367990,LIAN BENG BUILDING,PLAYFAIR ROAD,1.334288105,103.8861453
36,369645,YAN XIAN BUILDING,HARRISON ROAD,1.334978658,103.8842494
37,369683,HARPER KITCHEN,HARPER ROAD,1.334545623,103.8870086
38,387977,SIMS MEADOWS,LORONG 33 GEYLANG,1.314807516,103.8880486
39,388394,WIEDSON HOUSE,LORONG 23 GEYLANG,1.317367212,103.8813318
40,388644,YUEN SING MANSION,LORONG 13 GEYLANG,1.313007588,103.8777734
41,400822,EUNOS ESTATE HUDC,SIMS AVENUE,1.318335818,103.9036856
42,408612,WUI GUANG BUILDING,UBI ROAD 4,1.331372031,103.8992791
43,409004,MASJID WAK TANJONG,PAYA LEBAR ROAD,1.317473409,103.8919035
44,410101,HDB-KEMBANGAN ESTATE,LENGKONG TIGA,1.325159629,103.9108876
45,416953,E7 LODGE,LORONG MELAYU,1.321597999,103.9107001
46,419835,SING LIAN BUILDING,CHANGI ROAD,1.318567208,103.9108161
47,424794,MARTIA RESIDENCE,MARTIA ROAD,1.307419389,103.9111726
48,425746,THE VESTA,LORONG K TELOK KURAU,1.31343432,103.9138849
49,426237,GRAND RESIDENCE,LORONG G TELOK KURAU,1.316744329,103.9103245
50,428247,TENGGIRIA,JALAN TENGGIRI,1.308280734,103.9143079
51,428915,LAU'S ARCADIA,EAST COAST ROAD,1.30754034,103.9069631
52,436621,LOOK OUT TOWER,TANJONG RHU PLACE,1.299005854,103.872888
53,436917,PARKSHORE,TANJONG RHU ROAD,1.296515914,103.8706216
54,437602,PEACH GARDEN,PEACH GARDEN,1.297556007,103.8961085
55,455069,SIGLAP PARK,WOO MON CHEW ROAD,1.31475041,103.9294935
56,468698,LANDBAY CONDOMINIUM,JALAN HAJIJAH,1.313597933,103.9358057
57,468854,MORAL HOME FOR THE AGED SICK,JALAN BILAL,1.321862389,103.954229
58,469083,CONSULATE OF THE KINGDOM OF TONGA,BILAL LANE,1.322362009,103.9530882
59,469296,BEDOK COURT,BEDOK SOUTH AVENUE 3,1.322300069,103.9449522
60,498803,EXEL SUPPLY CHAIN HUB,ALPS AVENUE,1.376744433,104.0028409
61,519926,PA WATER-VENTURE (PASIR RIS),ELIAS ROAD,1.385293355,103.9436577
62,520118,TAMPINES COURT,TAMPINES STREET 11,1.344911956,103.9467341
63,520842,TAMPINES VILLE,TAMPINES STREET 82,1.351733491,103.935963
64,529284,TAMPINES MART,TAMPINES STREET 32,1.35475526,103.9603718
65,529568,ESSO TAMPINES AVENUE 9,TAMPINES AVENUE 9,1.360564228,103.947824
66,534220,THE ARECA,BUNGA RAMPAI PLACE,1.338733807,103.8845609
67,535700,BARTLEY RISE ESTATE,SUNSHINE TERRACE,1.345535177,103.8725869
68,539609,CHARLTON GARDEN,CHARLTON ROAD,1.353738775,103.8817015
69,544979,PHILLIPS RESIDENCE,PHILLIPS AVENUE,1.363839257,103.8772137
70,545084,RIVERVALE CREST,RIVERVALE CRESCENT,1.390847427,103.9041941
71,568426,GOLDENHILL PARK CONDOMINIUM,MEI HWAN DRIVE,1.353133987,103.8627535
72,588184,COURTAULDS HOUSE,UPPER BUKIT TIMAH ROAD,1.345573595,103.773046
73,598123,SUN COURT,LORONG KILAT,1.340754343,103.7733572
74,649810,PARC VISTA,CORPORATION ROAD,1.344242683,103.7175361
75,668662,HILLVIEW HOUSE,JALAN REMAJA,1.357656205,103.761643
76,688992,COMFORT GARDEN,HONG SAN WALK,1.377709578,103.7474586
77,779209,HUIT,MENG SUAN ROAD,1.402793897,103.8141459
78,806745,SUNRISE GARDENS,SUNRISE AVENUE,1.389690064,103.8571697
79,806902,BELGRAVIA PARK,SELETAR TERRACE,1.381241073,103.8683077
80,808998,D' KENARIS,JALAN KENARAH,1.384731087,103.872094
81,809757,HOCK SWEE HILL,BEGONIA TERRACE,1.388507362,103.8622478
